Studio Name,Website URL
"&Walsh","https://andwalsh.com/"
"& Partners","https://andpartnersgroup.com/"
"2X4","http://www.2x4.org/"
"50000 Feet","https://fiftythousandfeet.com/"
"A76 Productions","http://www.a76productions.com/"
"ABD","https://a-b-d.co/"
"Accurat","https://www.accurat.it/"
"Addison","http://www.addison.com/"
"American Design Language","https://www.adlhq.com/"
"Adolescent","https://adolescent.nyc/"
"AETHER","https://aetherny.com/"
"Aggressive","http://www.aggressive.tv/"
"Ahoy Studios","https://ahoystudios.com/"
"AKQA","http://www.akqa.com/"
"Alfalfa Studio","http://www.alfalfastudio.com/"
"All Day Everyday","http://www.alldayeveryday.com/"
"ALL Good","https://www.allgoodnyc.com/"
"Alternatives","https://altny.com/"
"Alright Studio","https://alright.studio/"
"Analog Folk","https://analogfolk.com/"
"Anchor Worldwide","http://www.anchorww.com/"
"And/Or","http://www.and-or.co/"
"Annex 88","http://www.annex88.com/"
"Anomaly","https://anomaly.com/"
"Anonymous Content","http://www.anonymouscontent.com/"
"Anti/Anti","http://www.antiantinyc.com/"
"Antarctic Agency","https://antarcticagency.com/"
"Any Studios","https://www.anystudios.com/"
"Apartment One","http://www.aptone.com/"
"Archetype","https://www.archetype.co/"
"Area 17","http://www.area17.com/"
"Arnold Worldwide","http://www.arn.com/"
"Aruliden","http://www.aruliden.com/"
"Athletics","https://athleticsnyc.com/"
"Atlason","http://www.atlason.com/"
"Attck","http://attck.com/"
"Avec","http://avec.us/"
"B-Reel","http://www.b-reel.com/"
"BAA Global","https://baa-global.com/"
"Bandujo","http://www.bandujo.com/"
"Barker","https://barkernyc.com/"
"Barbarion Group","https://wearebarbarian.com/"
"Barnicle Brothers","https://barnicle.tv/"
"Baron & Baron","http://www.baron-baron.com/"
"Barrel","http://www.barrelny.com/"
"Bartle Bogle Hegarty","http://www.bartleboglehegarty.com/"
"Base Design","http://www.basedesign.com/"
"BBDO","http://www.bbdo.com/"
"BBMG","http://www.bbmg.com/"
"Beyond","https://www.bynd.com/"
"Beardwood & Co","http://www.beardwood.com/"
"Best Practices","https://www.bestpractices.nyc/"
"Big Duck","https://bigduck.com/"
"Big Human","http://www.bighuman.com/"
"Big Spaceship","http://www.bigspaceship.com/"
"Bigstar","http://www.bgstr.com/"
